Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
09/09/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1209.53,1210.78,1209.53,1210.78,460,273,199712,16:00:00,944.0,199803
09/10/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1209.53,1210.03,1183.78,1191.78,436,382,199712,16:00:00,925.0,199803
09/11/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1190.78,1196.53,1177.03,1185.03,12421,2909,199712,16:00:00,918.25,199803
09/12/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1184.78,1203.28,1180.28,1200.53,9945,4059,199712,16:00:00,933.75,199803
09/15/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1200.28,1206.53,1195.78,1198.28,8911,3818,199712,16:00:00,931.5,199803
09/16/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1197.78,1226.78,1197.03,1222.78,11874,5314,199712,16:00:00,956.0,199803
09/17/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1222.28,1229.28,1218.28,1222.78,11093,5516,199712,16:00:00,956.0,199803
09/18/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1221.78,1237.28,1221.53,1224.53,11620,6122,199712,16:00:00,957.75,199803
09/19/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1225.03,1230.03,1219.78,1227.28,10005,5836,199712,16:00:00,960.5,199803
09/22/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1227.03,1238.78,1227.03,1233.03,12131,5997,199712,16:00:00,966.25,199803
09/23/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1232.78,1234.03,1223.28,1228.78,10203,5684,199712,16:00:00,962.0,199803
09/24/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1228.28,1237.28,1218.78,1221.28,14586,6200,199712,16:00:00,954.5,199803
09/25/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1220.78,1224.28,1212.28,1213.28,14121,6141,199712,16:00:00,946.5,199803
09/26/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1220.28,1223.28,1213.28,1220.03,12113,5674,199712,16:00:00,953.25,199803
09/29/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1220.03,1231.28,1217.03,1228.53,11160,5735,199712,16:00:00,961.75,199803
09/30/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1228.28,1232.03,1219.53,1221.28,15241,5874,199712,16:00:00,954.5,199803
10/01/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1222.28,1233.28,1221.53,1230.28,14022,5735,199712,16:00:00,963.5,199803
10/02/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1230.03,1236.28,1227.78,1235.78,9657,5146,199712,16:00:00,969.0,199803
10/03/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1236.53,1252.28,1228.53,1242.28,13806,6298,199712,16:00:00,975.5,199803
10/06/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1243.53,1250.53,1243.28,1248.28,9251,6394,199712,16:00:00,981.5,199803
10/07/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1249.03,1259.03,1244.28,1256.28,11911,7368,199712,16:00:00,989.5,199803
10/08/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1256.28,1258.53,1241.53,1256.28,16205,7907,199712,16:00:00,989.5,199803
10/09/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1248.53,1250.03,1236.03,1244.78,9412,8024,199712,16:00:00,978.0,199803
10/10/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1245.53,1247.78,1230.78,1243.53,6509,8081,199712,16:00:00,976.75,199803
10/13/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1243.53,1248.53,1240.78,1243.03,3914,8596,199712,16:00:00,976.25,199803
10/14/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1242.78,1248.28,1235.28,1244.28,11923,9638,199712,16:00:00,977.5,199803
10/15/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1239.78,1243.53,1234.78,1240.28,9715,10127,199712,16:00:00,973.5,199803
10/16/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1240.03,1248.03,1222.03,1226.53,13003,11033,199712,16:00:00,959.75,199803
10/17/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1225.78,1226.78,1202.28,1215.53,13606,11804,199712,16:00:00,948.75,199803
10/20/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1215.28,1229.78,1211.78,1229.03,11847,11962,199712,16:00:00,962.25,199803
10/21/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1230.28,1246.28,1228.78,1246.28,10617,12786,199712,16:00:00,979.5,199803
10/22/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1245.78,1247.28,1237.28,1241.03,10300,12753,199712,16:00:00,974.25,199803
10/23/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1239.78,1241.03,1214.28,1222.28,13649,13697,199712,16:00:00,955.5,199803
10/24/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1222.78,1235.78,1208.28,1210.78,15052,13767,199712,16:00:00,944.0,199803
10/27/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1209.28,1210.78,1140.78,1140.78,15481,15143,199712,16:00:00,874.0,199803
10/28/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1128.78,1199.78,1110.78,1191.28,17361,14967,199712,16:00:00,924.5,199803
10/29/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1190.78,1208.78,1183.03,1191.03,16646,15545,199712,16:00:00,924.25,199803
10/30/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1191.28,1195.28,1168.78,1169.78,14060,15323,199712,16:00:00,903.0,199803
10/31/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1168.78,1193.03,1156.53,1190.78,14435,15144,199712,16:00:00,924.0,199803
11/03/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1190.53,1214.78,1188.03,1212.53,11550,15331,199712,16:00:00,945.75,199803
11/04/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1212.78,1213.53,1203.03,1208.78,11391,15555,199712,16:00:00,942.0,199803
11/05/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1208.28,1222.78,1205.03,1213.78,11129,15788,199712,16:00:00,947.0,199803
11/06/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1213.28,1214.28,1204.03,1209.03,8894,15607,199712,16:00:00,942.25,199803
11/07/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1209.03,1209.78,1183.28,1198.03,13605,16141,199712,16:00:00,931.25,199803
11/10/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1196.78,1207.28,1189.53,1193.03,9946,15848,199712,16:00:00,926.25,199803
11/11/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1192.78,1199.53,1189.28,1193.28,6921,15798,199712,16:00:00,926.5,199803
11/12/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1194.03,1196.28,1170.28,1172.03,14213,16741,199712,16:00:00,905.25,199803
11/13/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1173.78,1189.28,1169.28,1186.03,14021,16710,199712,16:00:00,919.25,199803
11/14/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1186.78,1201.53,1181.78,1199.28,11431,17116,199712,16:00:00,932.5,199803
11/17/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1198.78,1221.28,1198.78,1216.78,10005,16881,199712,16:00:00,950.0,199803
11/18/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1216.78,1221.28,1206.78,1209.38,10895,17032,199712,16:00:00,942.6,199803
11/19/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1209.03,1218.28,1203.03,1214.58,11376,17214,199712,16:00:00,947.8,199803
11/20/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1214.78,1232.28,1213.78,1229.78,10658,17787,199712,16:00:00,963.0,199803
11/21/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1230.78,1237.78,1224.28,1236.38,10007,17779,199712,16:00:00,969.6,199803
11/24/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1235.28,1235.78,1213.78,1216.58,7868,17284,199712,16:00:00,949.8,199803
11/25/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1216.78,1224.28,1211.53,1218.48,10690,17147,199712,16:00:00,951.7,199803
11/26/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1217.28,1226.53,1215.53,1221.78,6929,17480,199712,16:00:00,955.0,199803
11/28/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1226.28,1229.03,1221.68,1221.68,2132,17142,199712,16:00:00,954.9,199803
12/01/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1222.28,1246.53,1221.78,1246.38,10631,17378,199712,16:00:00,979.6,199803
12/02/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1246.78,1248.78,1238.78,1241.88,10155,17369,199712,16:00:00,975.1,199803
12/03/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1241.53,1250.53,1234.53,1244.28,12325,17622,199712,16:00:00,977.5,199803
12/04/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1244.28,1252.53,1239.28,1243.68,12395,17813,199712,16:00:00,976.9,199803
12/05/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1243.03,1255.78,1229.78,1253.38,14282,18535,199712,16:00:00,986.6,199803
12/08/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1253.28,1256.53,1247.28,1251.38,8848,18468,199712,16:00:00,984.6,199803
12/09/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1251.53,1253.03,1241.28,1245.68,11830,18862,199712,16:00:00,978.9,199803
12/10/1997,&ES_CCB,E-mini S&P 500 Continuous Contract Backadjusted,1245.53,1246.53,1230.28,1236.98,12486,19385,199712,16:00:00,970.2,199803
