Name,Code,Exchange,Group,Contract Size,Quotation,Tick Size,Tick Value,Point Value,Currency,Margin,No Trade,Last Trading Day,First Notice Day
Eastern Australia Feed Barley,AFB,Australian Securities Exchange,Agriculture & Livestock,20 metric tonnes,cents per tonne,AUD $0.10 per tonne,2.0,20.0,AUD,553,,The third Thursday of the contract month,The second business day of the contract month
Eastern Australia Wheat,AWM,Australian Securities Exchange,Agriculture & Livestock,20 metric tonnes,cents per tonne,AUD $0.10 per tonne,2.0,20.0,AUD,756,,The third Thursday of the delivery month,The second business day of the contract month
Cocoa,CC,ICE Futures US,Agriculture & Livestock,10 metric tons,dollars per metric ton,1 dollar,10.0,10.0,USD,1430,,Eleven business days prior to the last business day of the delivery month.,Ten business days prior to the first business day of the delivery month.
Cotton No. 2,CT,ICE Futures US,Agriculture & Livestock,50000 pounds,cents per pound,0.01 of a cent,5.0,500.0,USD,3375,,Seventeen business days before the end of the delivery month.,Five business days prior to the first business day of the delivery month.
Class III Milk,DC,Chicago Mercantile Exchange (CME Group),Agriculture & Livestock,200000 pounds of Class III milk,dollars and cents per cwt,1 cent per cwt,20.0,2000.0,USD,1650,,The business day prior to the monthly Milk price announcement by the USDA.,
Feeder Cattle,GF,Chicago Mercantile Exchange (CME Group),Agriculture & Livestock,50000 pounds,cents per pound,0.025 of a cent,12.5,500.0,USD,3465,,"1. The November contract shall terminate on the Thursday prior to Thanksgiving Day, unless a holiday falls on that Thursday or on any of the four weekdays prior to that Thursday, in which case trading shall terminate on the first prior Thursday that is not a holiday and is not so preceded by a
holiday. Weekdays shall be defined as Monday, Tuesday, Wednesday, Thursday and Friday.
2. Any contract month in which a holiday falls on the last Thursday of the month or on any of the four weekdays prior to that Thursday shall terminate on the first prior Thursday that is not a holiday and is not so preceded by a holiday.",
Lean Hogs,HE,Chicago Mercantile Exchange (CME Group),Agriculture & Livestock,40000 pounds,cents per pound,0.025 of a cent,10.0,400.0,USD,1925,,The tenth business day of the contract month.,
Coffee C,KC,ICE Futures US,Agriculture & Livestock,37500 pounds,cents per pound,0.05 of a cent,18.75,375.0,USD,5250,,Eight business days prior to the last business day of the delivery month.,Seven business days prior to the first business day of the delivery month.
KC HRW Wheat,KE,Kansas City Board of Trade (CME Group),Agriculture & Livestock,5000 bushels,cents per bushel,2/8ths of a cent,12.5,50.0,USD,3740,,The business day preceding the 15th calendar day of the delivery month.,The business day preceding the first business day of the delivery month.
Random Length Lumber,LBS,Chicago Mercantile Exchange (CME Group),Agriculture & Livestock,110000 board feet,dollars and cents per 1000 board feet,10 cents,11.0,110.0,USD,5940,,The business day prior to the sixteenth calendar day of the delivery month,
London Cocoa,LCC,ICE Futures Europe,Agriculture & Livestock,10 Tonnes,pounds sterling per tonne,1 pound sterling,10.0,10.0,GBP,1510,,Eleven business days prior to the last business day of the delivery month.,
Live Cattle,LE,Chicago Mercantile Exchange (CME Group),Agriculture & Livestock,40000 pounds,cents per pound,0.025 of a cent,10.0,400.0,USD,2035,,The last business day of the delivery month,The first business day following the first Friday of the delivery month.
Robusta Coffee 10 Tonne,LRC,ICE Futures Europe,Agriculture & Livestock,10 Tonnes,dollars per tonne,1 dollar,10.0,10.0,USD,1820,,The fourth business day preceding the last business day of the delivery month,The fourth business day preceding the first business day of the delivery month
White Sugar,LSU,ICE Futures Europe,Agriculture & Livestock,50 Tonnes,dollars and cents per tonne,10 cents,5.0,50.0,USD,2229,,Sixteen calendar days preceding the first day of the delivery month,
Feed Wheat,LWB,ICE Futures Europe,Agriculture & Livestock,100 Tonnes,pounds sterling and pence per tonne,5 pence,5.0,100.0,GBP,1851,,"23rd calendar day of the delivery month, except for the July delivery, which is the 7th calendar day","First tender day, which is the second business day after Christmas for January delivery, or seventh calendar day prior to first business day of delivery month."
